candidate,seed,target,season,geography,horizon,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
direct,42,wk inc flu hosp,2025-2026,US,1,1661.889444999695,0.043599696075530804,0.5833333333333334,0.7916666666666666,0.875,0.8958333333333334
direct,42,wk inc flu hosp,2025-2026,US,2,2215.5398166830823,0.058124722400314265,0.46808510638297873,0.7446808510638298,0.7872340425531915,0.851063829787234
direct,42,wk inc flu hosp,2025-2026,US,3,2551.470463486439,0.06693786827301432,0.2391304347826087,0.6086956521739131,0.7608695652173914,0.782608695652174
direct,42,wk inc flu hosp,2025-2026,states_dc,0,22.45413075109571,0.037524163475318346,0.4009603841536615,0.6470588235294118,0.7406962785114045,0.782312925170068
direct,42,wk inc flu hosp,2025-2026,states_dc,1,38.11591281275751,0.06047642600364314,0.36887254901960786,0.5964052287581699,0.6879084967320261,0.7410130718954249
direct,42,wk inc flu hosp,2025-2026,states_dc,2,50.13692752184527,0.078383745931379,0.3283270755110555,0.5548602419691281,0.6545682102628285,0.7129745515227367
direct,42,wk inc flu hosp,2025-2026,states_dc,3,58.31491028899177,0.09120112243922505,0.29454390451832907,0.5196078431372549,0.618925831202046,0.685848252344416
direct,42,wk inc flu prop ed visits,2025-2026,US,0,0.0019552959714823643,0.03510406844101776,0.4489795918367347,0.8163265306122449,0.8775510204081632,0.8979591836734694
direct,42,wk inc flu prop ed visits,2025-2026,US,1,0.0036945519893107712,0.06632950089563124,0.22916666666666666,0.625,0.7916666666666666,0.8541666666666666
direct,42,wk inc flu prop ed visits,2025-2026,US,2,0.0052383288987920855,0.0940454329481122,0.19148936170212766,0.44680851063829785,0.6808510638297872,0.7872340425531915
direct,42,wk inc flu prop ed visits,2025-2026,US,3,0.00612062150683225,0.10988552086798102,0.21739130434782608,0.391304347826087,0.5652173913043478,0.6956521739130435
direct,42,wk inc flu prop ed visits,2025-2026,states_dc,0,0.0029273750722746015,0.04967762827097706,0.3825530212084834,0.6278511404561825,0.7322929171668667,0.7959183673469388
direct,42,wk inc flu prop ed visits,2025-2026,states_dc,1,0.004522327646052748,0.07604867658740741,0.306781045751634,0.5453431372549019,0.6568627450980392,0.7271241830065359
direct,42,wk inc flu prop ed visits,2025-2026,states_dc,2,0.005922990918916747,0.09937869591916115,0.27325823946599914,0.4793491864831039,0.5932415519399249,0.6775135586149353
direct,42,wk inc flu prop ed visits,2025-2026,states_dc,3,0.006875439105712277,0.11556572500028542,0.2421142369991475,0.45225916453537934,0.5579710144927537,0.6325660699062233
direct,42,wk inc rsv hosp,2025-2026,US,0,318.98606752935444,0.03369808446327429,0.37735849056603776,0.660377358490566,0.7169811320754716,0.7735849056603774
direct,42,wk inc rsv hosp,2025-2026,US,1,508.3063170560945,0.05369811082358911,0.3076923076923077,0.5576923076923077,0.5961538461538461,0.6730769230769231
direct,42,wk inc rsv hosp,2025-2026,US,2,697.5448216796835,0.07368950155078002,0.27450980392156865,0.49019607843137253,0.5882352941176471,0.6078431372549019
direct,42,wk inc rsv hosp,2025-2026,US,3,893.1636478416443,0.09435491737181959,0.28,0.4,0.56,0.6
direct,42,wk inc rsv hosp,2025-2026,states_dc,0,9.469277240105406,0.05227990780968506,0.2619311875693674,0.44580096189419166,0.5305216426193119,0.5893451720310766
direct,42,wk inc rsv hosp,2025-2026,states_dc,1,12.708994779346504,0.06548648030543734,0.20927601809954752,0.3978129713423831,0.5007541478129713,0.5622171945701357
direct,42,wk inc rsv hosp,2025-2026,states_dc,2,16.529793660785646,0.08189296941784979,0.1780084582852749,0.3460207612456747,0.44367550941945405,0.5086505190311419
direct,42,wk inc rsv hosp,2025-2026,states_dc,3,20.904726267433254,0.10097705411023916,0.15098039215686274,0.2937254901960784,0.3737254901960784,0.4384313725490196
direct,42,wk inc rsv prop ed visits,2025-2026,US,0,0.0003750339270935999,0.03906603221671302,0.4339622641509434,0.6415094339622641,0.7547169811320755,0.8301886792452831
direct,42,wk inc rsv prop ed visits,2025-2026,US,1,0.0004141660879043268,0.04314229877421815,0.4230769230769231,0.75,0.8461538461538461,0.8846153846153846
