target,season,geography,location,horizon,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,config_id,seed
wk inc covid hosp,2025-2026,states_dc,18,0,45,485.47869565217394,232.13086956521738,190.52173913043478,62.82608695652174,745.0,24.0,37.0,39.0,41.0,577.3339854060689,228.50467313324788,274.44988866221877,74.37942361060226,911.110096415352,24.0,37.0,42.0,45.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,18,1,44,642.2978260869565,260.2108695652174,242.7826086956522,139.30434782608697,1006.0,26.0,34.0,40.0,43.0,802.7007541029163,303.923444598287,320.3105039940641,178.46680551056525,1305.6627056987152,24.0,35.0,42.0,44.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,18,2,43,861.36,288.53391304347826,311.0,261.82608695652175,1331.0,18.0,31.0,36.0,38.0,1007.4632955964726,379.8937789737226,368.804446380369,258.76507024238106,1620.0622544326623,20.0,33.0,37.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,18,3,42,1023.0965217391305,315.35739130434786,312.39130434782606,395.3478260869565,1576.0,16.0,26.0,31.0,35.0,1129.7664503389576,424.2135806829166,430.32371079119287,275.22915886484816,1763.1476861638114,19.0,34.0,37.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,19,0,45,197.5417391304348,84.93304347826087,85.26086956521739,27.347826086956523,308.0,20.0,34.0,38.0,40.0,236.90131820701654,97.030859677867,118.95251675560614,20.917941773543415,350.69001484150886,26.0,37.0,40.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,19,1,44,237.11695652173913,96.42130434782608,96.95652173913044,43.73913043478261,370.0,22.0,34.0,36.0,38.0,295.6009948989622,130.03632956337685,124.21184598109389,41.35281935449148,475.960019890602,24.0,36.0,39.0,43.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,19,2,43,296.65478260869565,109.22,100.13043478260869,87.30434782608695,481.0,19.0,33.0,37.0,38.0,383.1900910187913,162.146954545326,148.02639696974748,73.0167395037178,610.7166684953603,24.0,35.0,39.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,19,3,42,375.7321739130435,122.47130434782609,117.52173913043478,135.73913043478262,587.0,18.0,30.0,33.0,35.0,437.9594744293169,184.22135238931685,150.91906791789486,102.81905412210521,708.8562120928653,20.0,34.0,38.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,20,0,45,247.2713043478261,85.0104347826087,105.3913043478261,56.869565217391305,378.0,18.0,28.0,31.0,36.0,277.74451462782343,99.13932423777692,132.26471370719543,46.34047668285106,444.8328010243914,17.0,33.0,41.0,41.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,20,1,44,317.5595652173913,96.64652173913043,137.34782608695653,83.56521739130434,483.0,18.0,26.0,30.0,34.0,375.1732759336355,132.72343058874853,160.99788576713345,81.45195957775357,618.3472380307812,22.0,36.0,39.0,41.0,B1 B gap-only,43
