candidate,seed,target,kind,age_days,n,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95
joint,44,wk inc covid hosp,revision,11,2444,14.738494883275472,22.30071293383809,0.005998866573917935,0.007932098723651682,41.99624443054199,0.00800887867808342,0.7298289528577389,0.9032957863996662,0.9355861493533584,0.9516061743846476
joint,44,wk inc covid prop ed visits,reconstruction,4,510,0.002268199710363573,0.0030111624718760143,0.07806753456454757,0.10372511722122277,,,0.16480000000000003,0.29280000000000006,0.33440000000000003,0.3792
joint,44,wk inc covid prop ed visits,reconstruction,11,306,0.0028826196236495924,0.00366571737913182,0.09986000836463328,0.12694121707495606,,,0.072,0.172,0.236,0.2813333333333333
joint,44,wk inc covid prop ed visits,revision,4,2201,0.00016545594254486982,0.00022948270821440635,0.005576529643113001,0.0077791453385074455,0.00030161879549268634,0.010220541059970858,0.3948016415868673,0.7562243502051984,0.8617875056999544,0.900045599635203
joint,44,wk inc covid prop ed visits,revision,11,2405,0.0002442923937495686,0.00035382260179514687,0.008258797968573718,0.012019913797070217,0.00017376720206812026,0.0058394677471369505,0.2179808093450146,0.6825198164372132,0.8228619107217355,0.8734251147267418
joint,44,wk inc flu hosp,reconstruction,4,782,28.874720286991746,47.436257445758926,0.009426235218918885,0.013098166125113093,,,0.3743137254901961,0.6195424836601309,0.7316339869281046,0.7607843137254902
joint,44,wk inc flu hosp,reconstruction,11,560,40.090056939784695,67.98078105372286,0.0129161491613414,0.017431463357060577,,,0.40556149732620317,0.6098395721925134,0.7165062388591801,0.7538680926916221
joint,44,wk inc flu hosp,revision,4,1818,44.82584075035503,66.52825740193154,0.015316145592668938,0.022079456677466254,220.77124938964843,0.03065193742513657,0.39265117811830613,0.6099917614104465,0.7701103971000166,0.8543483275663207
joint,44,wk inc flu hosp,revision,11,2092,29.724887909391907,47.94234890522213,0.0076634489536004866,0.011408793302110127,64.90936393737793,0.009809191152453423,0.25775466284074605,0.6779698708751795,0.8651052128168342,0.9011406025824964
joint,44,wk inc flu prop ed visits,reconstruction,4,667,0.0004423572538678583,0.0006167840668964449,0.007367392339128319,0.010218346236120696,,,0.2896681749622927,0.5047511312217196,0.6107088989441931,0.6707568095111349
joint,44,wk inc flu prop ed visits,reconstruction,11,413,0.0003983323299817972,0.0005713601838786138,0.006524801491826897,0.009314525760466609,,,0.32599999999999996,0.5720000000000001,0.6639999999999999,0.732
