candidate,seed,target,season,kind,age_days,geography,location,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95,n,denominator_near_zero,mae_ratio,wis_ratio
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,OR,30.418689612651217,45.45102055867513,0.11224608713155432,0.16771594302094142,,,0.5,0.5,0.5,0.6666666666666666,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,PA,124.47234842604485,209.97928873697916,0.08474425720156425,0.1429597744136779,,,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,RI,7.507935770698215,10.26687208811442,0.0834215085633135,0.11407635653460468,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,SC,17.429838473002118,30.856555938720703,0.04160859696000968,0.07366092357177675,,,0.3333333333333333,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,SD,3.09588928680489,5.426631450653076,0.02799177960614167,0.049065408190745445,,,0.6666666666666666,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,TN,17.033499836161514,20.851790110270183,0.035935660603733134,0.04399112687294965,,,0.8333333333333334,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,TX,105.18796382738196,157.64074198404947,0.046214125300746554,0.06925915035781945,,,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,UT,1.9886356827141582,3.4374807675679526,0.009415891506390096,0.016275955542820627,,,0.6666666666666666,0.8333333333333334,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,VA,18.551231438180675,26.61582310994466,0.027825460469742106,0.03992174515656004,,,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,VT,1.2537519388959029,1.8680604298909504,0.024487351313919863,0.036485568319563656,,,0.8333333333333334,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,WA,33.85414747113767,55.101365407307945,0.08811595284900821,0.14341844881149968,,,0.3333333333333333,0.5,0.6666666666666666,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,WI,51.384508998152135,83.29516855875652,0.08591290937240474,0.139266296537055,,,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,WV,14.966760698746944,25.0360590616862,0.05255184181095083,0.08790753335753594,,,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,WY,2.9142121457016983,4.789766629536946,0.055721078408653014,0.0915825439535098,,,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,revision,4,US,US,92.78249574169214,123.47055121527778,0.0034063380973010722,0.004532993417964006,476.95557,0.017510543,0.6888888888888889,0.9333333333333333,0.9333333333333333,0.9555555555555556,45,False,0.25887223027000156,0.1945306906485793
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,AK,0.6762742854550797,0.9978340228411101,0.017207999089746774,0.025390181655677812,0.9111111,0.023183491,0.17777777777777778,0.5777777777777777,0.7333333333333333,0.8,45,False,1.0951836772375079,0.7422522602076063
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,AL,10.746089128717706,12.80586834748586,0.02198463460942068,0.026198585653217706,14.044444,0.0287325,0.6,0.8666666666666667,0.8888888888888888,0.8888888888888888,45,False,0.9118102696511936,0.765148770881714
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,AR,2.387895631466707,3.636216195415009,0.007404328940747536,0.011275091111913048,5.4888887,0.017019814,0.5111111111111111,0.7777777777777778,0.8888888888888888,0.9333333333333333,45,False,0.6624685555308912,0.43504172599278806
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,AZ,3.642619078557848,5.13267822265625,0.0048769838762328715,0.006871975464339948,4.3777776,0.0058612637,0.4444444444444444,0.8666666666666667,1.0,1.0,45,False,1.1724392418361451,0.832070386160318
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,CA,17.952572955956207,28.312565443250868,0.005876650387496887,0.009267922157526146,54.244446,0.017756542,0.6222222222222222,0.9333333333333333,0.9777777777777777,1.0,45,False,0.5219440446904354,0.33095688767637194
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,CO,3.3197965036060495,5.180496682061089,0.006955366831155311,0.010853754063593556,3.1333334,0.0065647047,0.24444444444444444,0.7777777777777778,0.8222222222222222,0.8666666666666667,45,False,1.6533499462040622,1.0595094848051814
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,CT,4.225617470833414,6.034042172961765,0.011426766651581394,0.016317045343585343,1.8222222,0.0049275896,0.17777777777777778,0.6444444444444445,0.7777777777777778,0.8444444444444444,45,False,3.3113645878572897,2.3189364034359583
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,DC,1.9610552753530779,2.7135143770113164,0.028176085248747738,0.03898728066020878,2.9555554,0.042464886,0.26666666666666666,0.4666666666666667,0.6444444444444445,0.7111111111111111,45,False,0.9181064043696915,0.663514968956113
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,DE,2.8446372070525867,3.6137741539234116,0.035871845791435875,0.04557092512648867,3.288889,0.04147401,0.13333333333333333,0.5333333333333333,0.6444444444444445,0.7777777777777778,45,False,1.098782667775621,0.8649234639706475
