label,target,season,geography,horizon,wis_mean,wis_std,wis_ratio_mean,wis_ratio_std,bias_mean,bias_std,interval_coverage_50_mean,interval_coverage_50_std,interval_coverage_95_mean,interval_coverage_95_std,dispersion_mean,dispersion_std,underprediction_mean,underprediction_std,overprediction_mean,overprediction_std
anchor,wk inc flu hosp,2023-2024,US,0,783.3960000000001,49.68194215652654,1.1890371625462919,0.07540717023266054,0.45277777777777767,0.028349668493717933,0.4222222222222222,0.05091750772173158,0.8333333333333334,0.09999999999999996,205.5582222222222,36.02297766909543,33.371111111111105,14.444921188713632,544.4666666666667,27.806009742100333
anchor,wk inc flu hosp,2023-2024,US,1,1163.138333333333,45.43729685450534,0.9893886795698698,0.03864987151551471,0.2238888888888889,0.060192592136808255,0.38888888888888884,0.10715167512214395,0.8222222222222223,0.08388704928078614,318.0516666666667,57.13127632333565,169.76666666666668,60.70390212608521,675.3199999999998,60.686192095987586
anchor,wk inc flu hosp,2023-2024,US,2,1449.3743333333332,64.36454788416746,0.9043510919360632,0.04016088033458445,0.14333333333333328,0.020207259421636908,0.35555555555555557,0.10183501544346317,0.8444444444444444,0.050917507721731536,472.0276666666667,86.08921927538,263.47333333333336,106.34420675857766,713.8733333333333,94.43747349437089
anchor,wk inc flu hosp,2023-2024,US,3,1722.6924444444442,128.8872600946412,0.8929139481072729,0.0668054432136022,0.09333333333333331,0.053644923131436956,0.4333333333333333,0.06666666666666671,0.8777777777777778,0.03849001794597503,664.4435555555555,124.25825016755913,359.6066666666666,148.05493319860852,698.6422222222222,146.25674386477348
anchor,wk inc flu hosp,2023-2024,US,all,1279.650277777778,71.19041057167333,0.9538199589114255,0.05306358750164153,0.2283333333333333,0.018805473493994553,0.39999999999999997,0.07120003121097943,0.8444444444444444,0.06684005230842198,415.02027777777784,75.3819164829418,206.55444444444444,79.9313985436771,658.0755555555556,81.25188265055318
anchor,wk inc flu hosp,2023-2024,states_dc,0,20.591562091503267,1.574957058882324,1.1011724746984488,0.0842237880917673,0.3037908496732025,0.02594843267961999,0.31699346405228757,0.034018336417446005,0.7169934640522876,0.06942887176412814,5.037967320261438,1.0604542659043614,3.273725490196078,0.5408363681399609,12.27986928104575,1.2794213857850751
anchor,wk inc flu hosp,2023-2024,states_dc,1,28.52525054466231,1.958053384058313,0.9803584966790981,0.06729456307517077,0.20276688453159034,0.03990420003744635,0.3477124183006535,0.043727395251445034,0.7525054466230937,0.07038318478737003,7.48760348583878,1.5437211785556797,6.242527233115468,1.3159915508632307,14.795119825708062,2.2500771165327755
anchor,wk inc flu hosp,2023-2024,states_dc,2,35.428603839441536,2.7622529725197857,0.9294432469395323,0.07246566597098043,0.1403468586387434,0.05802247842981733,0.36561954624781845,0.046426008430044526,0.7746509598603839,0.05880712975715407,10.754563699825482,2.1414011406995352,8.444109947643978,1.9678995256212024,16.229930191972077,3.1915284140776508
anchor,wk inc flu hosp,2023-2024,states_dc,3,41.86457623416339,4.224704003766804,0.940992911919697,0.09495895767026072,0.1084207077326343,0.07263571093826177,0.38510266491917866,0.04008821328378631,0.8095238095238096,0.05063429365336362,14.704899519440806,2.8273783838981483,10.302140672782874,2.625072613389787,16.857536041939714,4.370810437153943
anchor,wk inc flu hosp,2023-2024,states_dc,all,31.594532766328644,2.599106958717015,0.9694103886218542,0.07974801544160992,0.18889979282520986,0.04818134541433166,0.35383273361683565,0.040687867071494764,0.7633845818340421,0.06210105250970898,9.49243921055501,1.87466106883413,7.063057463744411,1.5590375951359117,15.039036092029223,2.7567323506341683
anchor,wk inc flu hosp,2024-2025,US,0,2537.779753086419,188.48999731580338,1.105105647555332,0.08208015699079085,-0.5814814814814814,0.02625453125695897,0.345679012345679,0.13006979941793498,0.9135802469135803,0.021383343303319566,634.76987654321,87.48511946549588,1873.3777777777777,91.07554951887239,29.6320987654321,19.835964252425505
anchor,wk inc flu hosp,2024-2025,US,1,3273.367037037037,95.61048686893133,1.0162848834067157,0.029684264367739445,-0.5407407407407406,0.12444664901045512,0.4074074074074074,0.07407407407407407,0.8765432098765432,0.04276668660663902,774.9645679012345,100.31142186970393,2453.081481481481,200.9734634326511,45.32098765432099,22.88975826388427
