target,season,model,geography,horizon,n,wis,ae_median,interval_coverage_50,interval_coverage_95,underprediction,dispersion,overprediction,bias,rwis,rwis_n,wis_ratio,rank
wk inc covid hosp,2025-2026,B0-96f18bffffa1-s42,states_dc,all,8874,16.654075511263972,25.624633761550598,0.3773946360153257,0.789835474419653,3.5697494390059874,6.071969505443357,7.01235656681463,0.16098940725715571,1.23230428191432,8874,1.074564667486363,10.0
wk inc covid hosp,2025-2026,B0-96f18bffffa1-s43,states_dc,all,8874,17.754532684638075,26.84550371872887,0.3328825783186838,0.7252648185711066,3.328130052620748,5.683925831202047,8.742476800815279,0.21660468785215237,1.3081518291220602,8874,1.14556905291682,13.0
wk inc covid hosp,2025-2026,B0-96f18bffffa1-s44,states_dc,all,8874,15.617792819276636,24.366013071895424,0.39655172413793105,0.8382916384944783,4.9673692565481975,5.728717748968653,4.921705813759787,0.03464277665089023,1.1312369421612212,8874,1.0077009880474115,2.0
wk inc covid hosp,2025-2026,B0-b1e265a36c11-s42,states_dc,all,8874,16.201962597132805,25.124746450304258,0.3990308767185035,0.8283750281721884,4.358928378947781,6.233118587764941,5.609915630420084,0.09806513409961685,1.184488057494247,8874,1.0453931555095461,6.0
wk inc covid hosp,2025-2026,B0-c20800f1557e-s42,states_dc,all,8874,16.192808840677703,25.069641649763355,0.34403876493125984,0.7578318683795358,3.878781197636477,5.215993326865979,7.098034316175246,0.16547667342799188,1.2218757132714528,8874,1.0448025311152485,5.0
wk inc covid hosp,2025-2026,B0-fa4e4645314c-s42,states_dc,all,8874,16.549487658131724,25.06389452332657,0.38697318007662834,0.776650890241154,3.0933993787420015,6.054759531998705,7.40132874739101,0.1736004056795132,1.2329437767387952,8874,1.0678163846682531,7.0
wk inc covid hosp,2025-2026,B0-fa4e4645314c-s43,states_dc,all,8874,15.739595594359681,24.012395762902862,0.3243182330403426,0.7493802118548569,6.082213795063252,4.279168944939296,5.378212854357136,0.02822289835474418,1.1432445772807063,8874,1.0155600228174595,3.0
wk inc covid hosp,2025-2026,B0-fa4e4645314c-s44,states_dc,all,8874,16.13313676495086,24.238900157764256,0.5320036060401172,0.9044399368942979,2.673011533448962,8.620510725029643,4.8396145064722536,0.10603110209601084,1.2573727364463088,8874,1.040952332155344,4.0
wk inc covid hosp,2025-2026,CovidHub-ensemble,states_dc,all,8874,15.498439521765986,24.31959186177638,0.5042821726391706,0.9372323642100518,4.81316564530936,6.274136553125448,4.411137323331183,0.03732138832544513,1.0,8874,1.0,1.0
wk inc covid prop ed visits,2025-2026,B0-2a157841d7e4-s42,states_dc,all,5476,0.000555318867675519,0.0008588717628623865,0.44685902118334553,0.9013878743608473,4.2692629599460814e-05,0.0002677230920055453,0.0002449031460704924,0.37660701241782324,1.5377882475193272,5476,1.2304630948975062,7.0
wk inc covid prop ed visits,2025-2026,B0-323fbd9b1c6f-s42,states_dc,all,5476,0.000555318867675519,0.0008588717628623865,0.44685902118334553,0.9013878743608473,4.2692629599460814e-05,0.0002677230920055453,0.0002449031460704924,0.37660701241782324,1.5377882475193272,5476,1.2304630948975062,7.0
wk inc covid prop ed visits,2025-2026,B0-323fbd9b1c6f-s43,states_dc,all,5476,0.0006946873857397173,0.001085592478731914,0.2733747260774288,0.741599707815924,3.494098758685347e-05,0.00021438570832728128,0.00044536068982556083,0.5284331628926223,1.8221663013743223,5476,1.539272732117964,16.0
wk inc covid prop ed visits,2025-2026,B0-323fbd9b1c6f-s44,states_dc,all,5476,0.0006286549597649414,0.0009626264206737629,0.3140978816654492,0.7748356464572681,4.187217580757296e-05,0.0002204020526697636,0.00036638073128758455,0.4637216946676406,1.6741889523358469,5476,1.3929595633098963,15.0
wk inc covid prop ed visits,2025-2026,B0-41878487e0fd-s42,states_dc,all,5476,0.0005718858682062123,0.0008745751994536447,0.3391161431701972,0.7899926953981008,6.77610044711761e-05,0.00020752905478464288,0.0002965958089503755,0.3218791088385683,1.3840362063620166,5476,1.2671718831861059,10.0
wk inc covid prop ed visits,2025-2026,B0-4d0946a0dfcf-s42,states_dc,all,5476,0.000535352707920205,0.0006716297993541932,0.14225712198685173,0.3887874360847334,0.00021823324303110934,5.371272389282809e-05,0.00026340674099626526,0.050005478451424404,1.2203467631074774,5476,1.1862225258194592,6.0
