name,coverage_50,coverage_95,dispersion,wis,under,over,sharpness,bias,combined_mean,combined_sd,rank
spatial_conv,40.6064659286769,82.58164104086971,1200640.6158713554,4812684.324577173,2126966.385015301,1485077.3236905173,0.24947420917262006,-0.13337443680791963,1.034054124641594,0.0896027569858368,56.0
spatial_conv__annual_calendar_False,40.36864630824211,82.90523553282924,1382583.6216373374,5002863.180761988,1763154.3647452404,1857125.1943794098,0.27635847147567916,0.018783409867278562,1.2758558002002336,0.1596542172763982,121.0
spatial_conv__count_transform_log1p,39.13767628566145,81.16175186805407,1100813.9469683543,4735035.84769012,2408468.742745586,1225753.1579761798,0.23248270601908144,-0.24977964746483752,1.0051801639833775,0.1084659197676388,39.0
spatial_conv__count_transform_sqrt,42.32601080036468,85.18515788027983,1251908.2893010054,4568410.12400634,1970443.3935055716,1346058.4411997637,0.27403588016811514,-0.1366744524588006,0.9903472889878704,0.1044740430507825,32.0
spatial_conv__decoder_stochastic_trend,25.620840227606024,54.13953437035091,785986.8769480502,8850643.457023725,7330623.550448815,734033.0296268595,0.08880561970037376,-0.7453232697546991,2.6379335009160285,0.7280212131919356,149.0
spatial_conv__dynamics_False,43.31674812476859,84.9588309336076,1375856.2347065634,4627760.469550297,1863546.862710942,1388357.372132791,0.29730498018629353,-0.10268238680562645,1.02944008337077,0.0481374586171601,52.0
spatial_conv__ed_transform_fourth_root,43.130508963338734,85.40014198031366,1166526.807833624,4797549.329969091,2301007.243630212,1330015.2785052564,0.24315056033850924,-0.20239332591317225,0.9612194407298356,0.0165119626160171,16.0
spatial_conv__ed_transform_linear,41.36756307385023,83.7927573032133,1136817.5807907502,4451004.897847061,2004704.1535554626,1309483.1635008487,0.25540694896575505,-0.15619416424162785,0.9681780331501818,0.0714150562471433,22.0
spatial_conv__encoder_multiscale_conv,41.42203591413828,83.56687715208305,1172932.1137343058,4377048.392867263,1952766.3640118276,1251349.9151211304,0.26797330265886227,-0.160248730636314,0.96811442886382,0.0651675265183017,21.0
spatial_conv__epochs_100,41.56846534220995,83.32468939251648,1162667.8674605102,4391895.339478811,2048314.0729283963,1180913.3990899045,0.26473032201138125,-0.19750030608457686,0.9678434025948904,0.0685895282687287,19.0
spatial_conv__exchange_joint_location_target,40.186773208684166,82.70797531512571,1252973.8426482908,5435318.526688752,2429282.8141669054,1753061.8698735547,0.23052445528185347,-0.1244123855801531,1.36623164121067,0.4457600172393238,131.0
spatial_conv__exchange_pathogen_spatial,40.559076074017156,82.54217236594634,1206146.947636823,4588256.634619059,1724614.1355939077,1657495.5513883284,0.26287695821900414,-0.014628341339749794,1.1103790853837998,0.0804000229964463,80.0
spatial_conv__exchange_target_spatial,40.38320390621448,82.17587131805702,1162556.8675167242,4616006.851143392,1974589.8965794963,1478860.0870471708,0.251853366991593,-0.10739364682908399,1.1449351906059917,0.144434867352298,91.0
spatial_conv__head_sharing_pathogen,38.91704441760645,81.10161223995607,1146249.77697159,4653071.1859131,2012443.1770633003,1494378.2318782092,0.24634262644461447,-0.11133828056478103,1.012280065535376,0.0436921062148333,46.0
spatial_conv__head_sharing_target,39.983172894254594,82.57969723475188,1254643.0552922515,5024988.038166009,2054856.9710967995,1715488.0117769581,0.24968080436469337,-0.06753627207512762,1.1349141006109698,0.0728086406925657,87.0
spatial_conv__location_embedding_8,40.67067845793243,83.10790153778694,1140679.4774323057,4255726.903768581,1863425.730274887,1251621.6960613888,0.2680339935399045,-0.14376017259747714,0.9752878788904816,0.0538796767960388,27.0
